Date,AAPL,MSFT,TSLA
2020-01-02,72.716064453125,153.32327270507812,28.68400001525879
2020-01-03,72.00912475585938,151.41409301757812,29.534000396728516
2020-01-06,72.5829086303711,151.8054656982422,30.1026668548584
2020-01-07,72.24153900146484,150.42137145996094,31.270666122436523
2020-01-08,73.40364074707031,152.81732177734375,32.80933380126953
2020-01-09,74.96278381347656,154.7264404296875,32.089332580566406
2020-01-10,75.13227844238281,154.01055908203125,31.876667022705078
2020-01-13,76.7374267578125,155.86241149902344,34.990665435791016
2020-01-14,75.70120239257812,154.76463317871094,35.861331939697266
2020-01-15,75.37680053710938,155.76693725585938,34.56666564941406
2020-01-16,76.32100677490234,158.62115478515625,34.232666015625
2020-01-17,77.16593170166016,159.50889587402344,34.03333282470703
2020-01-21,76.64302062988281,158.93612670898438,36.47999954223633
2020-01-22,76.91659545898438,158.17247009277344,37.97066879272461
2020-01-23,77.28700256347656,159.14614868164062,38.14666748046875
2020-01-24,77.06426239013672,157.5424346923828,37.654666900634766
2020-01-27,74.79817199707031,154.90785217285156,37.201332092285156
2020-01-28,76.91415405273438,157.94338989257812,37.793331146240234
2020-01-29,78.52416229248047,160.4062042236328,38.732666015625
2020-01-30,78.41036224365234,164.9308624267578,42.72066879272461
2020-01-31,74.93376922607422,162.49667358398438,43.371334075927734
2020-02-03,74.72795104980469,166.45819091796875,52.0
2020-02-04,77.19500732421875,171.9373779296875,59.137332916259766
2020-02-05,77.82447052001953,171.72738647460938,48.97999954223633
2020-02-06,78.73477935791016,175.28794860839844,49.930667877197266
2020-02-07,77.66456604003906,175.53616333007812,49.871334075927734
2020-02-10,78.03343200683594,180.12762451171875,51.41866683959961
2020-02-11,77.56263732910156,176.06118774414062,51.62533187866211
2020-02-12,79.40458679199219,176.3188934326172,51.15266799926758
2020-02-13,78.83914184570312,175.36436462402344,53.599998474121094
2020-02-14,78.8585433959961,176.92984008789062,53.33533477783203
2020-02-18,77.41459655761719,178.7244110107422,57.22666549682617
2020-02-19,78.53578186035156,179.26040649414062,61.16133117675781
2020-02-20,77.7301025390625,176.5229034423828,59.96066665649414
2020-02-21,75.97065734863281,170.94252014160156,60.06666564941406
2020-02-24,72.36203002929688,163.572265625,55.58599853515625
2020-02-25,69.91096496582031,160.87303161621094,53.32733154296875
2020-02-26,71.0199966430664,162.88311767578125,51.91999816894531
2020-02-27,66.3775634765625,151.40650939941406,45.266666412353516
2020-02-28,66.3387451171875,155.07252502441406,44.53266525268555
2020-03-02,72.51493072509766,165.39089965820312,49.574668884277344
2020-03-03,70.21189880371094,157.46542358398438,49.70066833496094
2020-03-04,73.46863555908203,163.246826171875,49.96666717529297
2020-03-05,71.08554077148438,159.15011596679688,48.30266571044922
2020-03-06,70.14151000976562,154.6513671875,46.89866638183594
2020-03-09,64.59387969970703,144.1702117919922,40.53333282470703
2020-03-10,69.24603271484375,154.02914428710938,43.02199935913086
2020-03-11,66.84107971191406,147.0513916015625,42.28200149536133
2020-03-12,60.24021911621094,133.1052703857422,37.369998931884766
2020-03-13,67.4574966430664,152.02867126464844,36.44133377075195
2020-03-16,58.77928161621094,129.6211395263672,29.67133331298828
2020-03-17,61.36381912231445,140.29368591308594,28.68000030517578
2020-03-18,59.86164093017578,134.3878631591797,24.08133316040039
2020-03-19,59.40297317504883,136.5989990234375,28.50933265686035
2020-03-20,55.631744384765625,131.46852111816406,28.50200080871582
2020-03-23,54.449893951416016,130.15716552734375,28.952667236328125
2020-03-24,59.912601470947266,141.98789978027344,33.66666793823242
2020-03-25,59.58256149291992,140.62867736816406,35.95000076293945
2020-03-26,62.71796798706055,149.42518615722656,35.21066665649414
2020-03-27,60.121307373046875,143.28964233398438,34.29066848754883
2020-03-30,61.8370361328125,153.3687744140625,33.47533416748047
2020-03-31,61.71084213256836,150.95669555664062,34.93333435058594
2020-04-01,58.46379852294922,145.596435546875,32.104000091552734
2020-04-02,59.439369201660156,148.611572265625,30.29800033569336
2020-04-03,58.585147857666016,147.24282836914062,32.000667572021484
2020-04-06,63.69594192504883,158.19293212890625,34.41600036621094
2020-04-07,62.958221435546875,156.4891357421875,36.36333465576172
2020-04-08,64.56961059570312,158.0589141845703,36.589332580566406
2020-04-09,65.0355453491211,158.06849670410156,38.20000076293945
